Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,dBm,Label
13/3/20, 15:59:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B9,185,-24.31,4
13/3/20, 15:59:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B2,178,-27.628,4
13/3/20, 15:59:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B8,184,-24.784,4
13/3/20, 15:59:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B8,184,-24.784,4
13/3/20, 15:59:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B9,185,-24.31,4
13/3/20, 15:59:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776BA,186,-23.836,4
13/3/20, 15:59:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74BD,189,-22.414,4
13/3/20, 15:59:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C1,193,-20.518,4
13/3/20, 15:59:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B4,180,-26.68,4
13/3/20, 15:59:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B9,185,-24.31,4
13/3/20, 15:59:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BB,187,-23.362,4
13/3/20, 15:59:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74BD,189,-22.414,4
13/3/20, 15:59:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C1,193,-20.518,4
13/3/20, 15:59:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BB,187,-23.362,4
13/3/20, 15:59:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74BB,187,-23.362,4
13/3/20, 15:59:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B9,185,-24.31,4
13/3/20, 15:59:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B6,182,-25.732,4
13/3/20, 15:59:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B9,185,-24.31,4
13/3/20, 15:59:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B7,183,-25.258,4
